ITEM,Item,BANK,Bank,COU,Country,YEA,Year,Value,Flag Codes,Flags
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,659539.96,659539.962009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66017.1,66017.12009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6606266.05,6606266.052009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66343.03,66343.032009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6638.78,6638.782009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,666001.35,666001.352009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,667165.9,667165.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66724.6,66724.62009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,66788.9,66788.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,668.51,668.512009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,669914.93,669914.932009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,671.7,671.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,67178.95,67178.952009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,672.58,672.582009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6732.15,6732.152009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,673451.33,673451.332009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6742.82,6742.822009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,67496.03,67496.032009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,676849.14,676849.142009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6772.18,6772.182009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,677936.29,677936.292009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,678.7,678.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6805.54,6805.542009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,682.1,682.12009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,684.17,684.172009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,68411.99,68411.992009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,685126.5,685126.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,686.16,686.162009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,687.46,687.462009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,68846.13,68846.132009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6904.59,6904.592009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,6931.35,6931.352009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,69420.16,69420.162009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,69617.2,69617.22009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,697283.93,697283.932009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,700.4,700.42009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,70087.2,70087.22009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7032.86,7032.862009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,705.96,705.962009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7068.14,7068.142009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,708475.7,708475.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,70891.27,70891.272009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,710.22,710.222009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,71065.17,71065.172009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,713.73,713.732009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,713726.51,713726.512009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,71396.85,71396.852009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,71430.7,71430.72009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,71738.07,71738.072009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,71851.35,71851.352009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,72052.4,72052.42009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,725001.54,725001.542009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7267.36,7267.362009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,726915809.02,726915809.022009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,727218.86,727218.862009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,728421.3,728421.32009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,729.9,729.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,730375.5,730375.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,732996.22,732996.222009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,73488.4,73488.42009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,736145.8,736145.82009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,73703.15,73703.152009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,74033.9,74033.92009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,741352.8,741352.82009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7418.63,7418.632009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7428.18,7428.182009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,743452.97,743452.972009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,743933.86,743933.862009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,746272845.5,746272845.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,75198.38,75198.382009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,752010.66,752010.662009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,755.23,755.232009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,76112.95,76112.952009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,763982118.5,763982118.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,76478.33,76478.332009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,765423.81,765423.812009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,76793.59,76793.592009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7685.29,7685.292009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,77.64,77.642009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,77.71,77.712009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,772069.5,772069.52009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,774238.88,774238.882009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,774369.02,774369.022009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,77550.99,77550.992009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7791.71,7791.712009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7812.95,7812.952009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,781552.91,781552.912009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,783003.12,783003.122009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,78374.89,78374.892009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7841.91,7841.912009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,78549.21,78549.212009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,78681.93,78681.932009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,787438.2,787438.22009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,78982450.79,78982450.792009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,79.55,79.552009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,79048.52,79048.522009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,791540.39,791540.392009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,794464.13,794464.132009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,7971.54,7971.542009,All banksUSA
SI39TE,9. Income before tax,ALL,All banks,USA,United States,2009,2009,798.5,798.52009,All banksUSA
